1,-1,452,210,28.326,64.279,86.48,3.5381,11.764,0.65175
1,-1,284,155,62.22,141.19,80.904,-0.052366,7.5559,0.74284
1,-1,220,185,40,90.769,66.209,-1.7241,10.918,0.6293
1,-1,303,164,62.22,141.19,16.766,0.20644,6.6309,0.77227
2,-1,283,150,74.286,168.57,90.856,0.026994,5.5539,0.79677
2,-1,449,205,30.847,69.999,81.752,3.416,11.428,0.64921
2,-1,220,185,40,90.769,64.853,-1.6849,10.794,0.62235
3,-1,291,158,68.041,154.4,91.403,0.080526,6.0552,0.77867
3,-1,452,210,28.326,64.279,84.868,3.5697,11.87,0.63141
3,-1,214,183,43.854,99.515,62.451,-1.5599,9.4555,0.65967
3,-1,443,214,28.326,64.279,10.968,3.0382,10.784,0.65998
3,-1,270,168,68.041,154.4,7.1808,-0.15378,5.3654,0.79774
4,-1,294,150,74.286,168.57,94.806,0.15154,5.6958,0.79139
4,-1,449,205,30.847,69.999,81.555,3.5672,11.975,0.6291
4,-1,214,183,43.854,99.515,69.077,-1.5748,9.6219,0.65578
4,-1,284,212,62.22,141.19,17.249,-0.022048,4.0359,0.84074
4,-1,440,210,30.847,69.999,15.34,2.9641,10.628,0.66504
5,-1,294,150,74.286,168.57,84.799,0.1487,5.9117,0.80063
5,-1,452,214,28.326,64.279,73.979,3.54,11.824,0.66681
5,-1,214,183,43.854,99.515,60.115,-1.6776,10.194,0.6669
5,-1,443,210,28.326,64.279,25.218,3.6781,13.105,0.63268
6,-1,447,214,28.326,64.279,85.682,3.5448,12.448,0.68762
6,-1,290,135,86.667,196.67,81.547,0.13676,5.2614,0.83553
6,-1,214,183,43.854,99.515,67.661,-1.7939,10.738,0.68315
6,-1,317,148,86.667,196.67,16.913,0.36552,4.6305,0.85313
7,-1,303,135,86.667,196.67,87.286,0.26296,5.335,0.83001
7,-1,451,217,26,59,87.135,3.8838,13.455,0.65299
7,-1,211,178,47.893,108.68,58.605,-1.6853,9.9407,0.69503
7,-1,277,148,86.667,196.67,19.302,-0.0076697,4.6805,0.84446
8,-1,451,221,26,59,109.2,3.5161,12.238,0.67424
8,-1,303,135,86.667,196.67,80.609,0.26606,5.3724,0.82704
8,-1,211,186,47.893,108.68,51.168,-1.4545,8.609,0.72744
8,-1,277,148,86.667,196.67,4.2631,-0.0046527,4.7137,0.84205
8,-1,387,217,26,59,2.6036,2.115,13.448,0.63059
9,-1,451,221,26,59,88.791,3.5606,12.53,0.67133
9,-1,303,135,86.667,196.67,80.293,0.25393,5.4818,0.82272
9,-1,206,177,52,118,40.794,-1.5347,8.7397,0.72443
9,-1,330,148,86.667,196.67,40.666,0.47099,4.8304,0.84118
10,-1,316,133,94.545,214.55,82.265,0.35657,4.8749,0.85962
10,-1,452,214,28.326,64.279,74.795,3.966,13.927,0.68925
10,-1,214,177,52,118,52.154,-1.4915,9.2239,0.74468
10,-1,287,147,94.545,214.55,27.773,0.077281,4.3258,0.8694
10,-1,443,219,28.326,64.279,24.874,3.2401,12.215,0.72106
10,-1,486,201,52,118,10.377,2.4202,6.5404,0.8412
11,-1,452,219,28.326,64.279,77.439,3.3793,12.171,0.67667
11,-1,316,130,104,236,75.776,0.31788,4.2358,0.85842
11,-1,214,177,52,118,55.995,-1.5198,9.2197,0.70791
11,-1,494,201,52,118,13.87,2.4842,6.5695,0.8172
11,-1,460,214,28.326,64.279,13.265,4.0904,13.849,0.63884
12,-1,332,130,104,236,81.112,0.42289,4.3113,0.84537
12,-1,454,214,30.847,69.999,65.893,3.3665,12.09,0.64829
12,-1,214,185,52,118,47.114,-1.3746,8.2098,0.71198
12,-1,290,139,112.01,254.17,3.6126,0.097351,3.5967,0.86289
13,-1,456,219,28.326,64.279,107.52,3.3281,12.216,0.61798
13,-1,332,130,104,236,82.005,0.39754,4.3659,0.83364
13,-1,214,185,52,118,40.658,-1.4161,8.2407,0.6898
13,-1,364,146,104,236,8.1627,0.57032,3.9087,0.85014
13,-1,498,202,56.877,129.07,2.0838,2.1388,5.8168,0.80753
14,-1,456,219,28.326,64.279,94.695,3.232,11.979,0.61373
14,-1,348,114,104,236,91.95,0.59437,4.9583,0.8123
14,-1,214,185,52,118,36.49,-1.3914,8.1251,0.68894
14,-1,329,211,80,181.54,10.804,0.22066,3.7037,0.84883
15,-1,459,214,30.847,69.999,97.817,3.4446,12.514,0.60339
15,-1,342,105,112.01,254.17,70.996,0.52766,4.775,0.8214
15,-1,214,185,52,118,39.903,-1.4613,8.4937,0.68134
15,-1,449,219,30.847,69.999,32.506,2.8381,11.2,0.63925
15,-1,303,205,26,59,3.1432,-0.66106,23.227,0.21686
16,-1,460,219,28.326,64.279,109.84,3.3285,12.343,0.57663
16,-1,359,105,112.01,254.17,74.526,0.63782,4.7977,0.81038
16,-1,217,176,56.877,129.07,42.14,-1.3247,8.1225,0.67484
17,-1,460,219,28.326,64.279,80.474,3.2019,12.066,0.58179
17,-1,359,105,112.01,254.17,61.334,0.62232,4.8273,0.80504
17,-1,208,176,56.877,129.07,55.423,-1.4501,8.0534,0.66936
17,-1,375,220,94.545,214.55,11.001,0.3956,3.2204,0.85848
18,-1,364,98,125.53,284.85,64.168,0.56465,4.2325,0.82921
18,-1,208,174,62.22,141.19,50.769,-1.2539,7.161,0.70902
18,-1,402,118,125.53,284.85,40.462,0.71383,3.7975,0.84565
18,-1,515,202,56.877,129.07,9.2374,2.1946,6.0828,0.78585
19,-1,402,118,125.53,284.85,53.079,0.71052,3.8481,0.8437
19,-1,208,174,62.22,141.19,51.149,-1.2504,7.1763,0.70717
19,-1,515,202,56.877,129.07,7.4868,2.1751,6.1095,0.78505
20,-1,418,205,94.545,214.55,56.555,0.63632,3.6183,0.8496
20,-1,207,168,68.041,154.4,48.828,-1.1278,6.6613,0.72607
